epoch,accuracy,fn,fp,loss,pr_auc,precision,recall,roc_auc,tn,tp,val_accuracy,val_fn,val_fp,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,val_tn,val_tp
0,0.4987793564796448,2617.0,2721.0,8.651182174682617,0.5013083219528198,0.49880272150039673,0.5085446238517761,0.49806147813796997,2604.0,2708.0,0.4906085729598999,1000.0,356.0,8.108040809631348,0.49341946840286255,0.4818049371242523,0.24868519604206085,0.48859113454818726,975.0,331.0
1,0.5037558674812317,2718.0,2567.0,7.561764240264893,0.508888304233551,0.5038654804229736,0.4895774722099304,0.5076146721839905,2758.0,2607.0,0.5022539496421814,1053.0,272.0,6.942389488220215,0.5059687495231628,0.5054545402526855,0.20886550843715668,0.5055199861526489,1059.0,278.0
2,0.5188732147216797,2509.0,2615.0,6.333124160766602,0.5259722471237183,0.5185048580169678,0.5288262963294983,0.5268669128417969,2710.0,2816.0,0.5060105323791504,1120.0,195.0,5.721933364868164,0.4939122200012207,0.5197044610977173,0.1585274189710617,0.4916790723800659,1136.0,211.0
3,0.5212206840515137,2498.0,2601.0,5.153364181518555,0.5268246531486511,0.5208179950714111,0.530892014503479,0.5292631387710571,2724.0,2827.0,0.4992486834526062,976.0,357.0,4.608502388000488,0.5010490417480469,0.4985955059528351,0.26671674847602844,0.49719175696372986,974.0,355.0
4,0.5289201736450195,2472.0,2545.0,4.1185455322265625,0.5367677807807922,0.5285291075706482,0.5357746481895447,0.540515124797821,2780.0,2853.0,0.4939894676208496,1115.0,232.0,3.695340394973755,0.497964471578598,0.4821428656578064,0.1622840017080307,0.4990692138671875,1099.0,216.0
5,0.5330516695976257,2509.0,2464.0,3.344632863998413,0.5481685400009155,0.5333333611488342,0.5288262963294983,0.5444948673248291,2861.0,2816.0,0.5093914270401001,1110.0,196.0,3.0373880863189697,0.5111035704612732,0.5299760103225708,0.1660405695438385,0.5157654881477356,1135.0,221.0
6,0.5362441539764404,2669.0,2270.0,2.7774434089660645,0.5502639412879944,0.5391798615455627,0.4987793564796448,0.5553508996963501,3055.0,2656.0,0.5045078992843628,795.0,524.0,2.5484023094177246,0.5116419196128845,0.505660355091095,0.40270474553108215,0.5131273865699768,807.0,536.0
7,0.5363380312919617,2393.0,2545.0,2.344228744506836,0.5504936575889587,0.5353295803070068,0.5506103038787842,0.5541274547576904,2780.0,2932.0,0.5202854871749878,463.0,814.0,2.1701760292053223,0.5122312307357788,0.5160523056983948,0.652141273021698,0.5228992700576782,517.0,868.0
8,0.5400938987731934,2389.0,2509.0,2.010885000228882,0.5601183176040649,0.5392102599143982,0.5513615012168884,0.5654570460319519,2816.0,2936.0,0.5011269450187683,821.0,507.0,1.8884572982788086,0.505996584892273,0.501474916934967,0.38317054510116577,0.5074818134307861,824.0,510.0
9,0.5542722940444946,2332.0,2415.0,1.7689968347549438,0.5741539597511292,0.5534393787384033,0.5620657205581665,0.5790818929672241,2910.0,2993.0,0.4909842312335968,743.0,612.0,1.6873542070388794,0.5053384900093079,0.49000000953674316,0.44177311658859253,0.4976179003715515,719.0,588.0
