epoch,accuracy,fn,fp,loss,pr_auc,precision,recall,roc_auc,tn,tp,val_accuracy,val_fn,val_fp,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,val_tn,val_tp
0,0.503943681716919,2683.0,2600.0,8.493841171264648,0.50182044506073,0.5040060877799988,0.4961502254009247,0.5017155408859253,2725.0,2642.0,0.5161532759666443,178.0,1110.0,7.880331993103027,0.5022281408309937,0.5095006823539734,0.8662659525871277,0.5093442797660828,221.0,1153.0
1,0.5133333206176758,2492.0,2691.0,7.252573490142822,0.5226828455924988,0.5128530263900757,0.532018780708313,0.522994875907898,2634.0,2833.0,0.5003756284713745,256.0,1074.0,6.5988874435424805,0.5046601891517639,0.5002326369285583,0.8076634407043457,0.5054051280021667,257.0,1075.0
2,0.5260093808174133,2454.0,2594.0,5.980373382568359,0.5290927290916443,0.525343120098114,0.5391549468040466,0.5358368158340454,2731.0,2871.0,0.5199098587036133,282.0,996.0,5.366349697113037,0.49699822068214417,0.5129584074020386,0.7881292104721069,0.5081879496574402,335.0,1049.0
3,0.5271361470222473,2341.0,2695.0,4.8221049308776855,0.5416709184646606,0.5254446268081665,0.5603755712509155,0.5408732295036316,2630.0,2984.0,0.5060105323791504,417.0,898.0,4.33408260345459,0.5062532424926758,0.5044150352478027,0.6867017149925232,0.5070968270301819,433.0,914.0
4,0.5553051829338074,2328.0,2408.0,3.9509599208831787,0.5647475719451904,0.5544865727424622,0.5628169178962708,0.5763936042785645,2917.0,2997.0,0.5255447030067444,454.0,809.0,3.6309974193573,0.5248198509216309,0.5201660990715027,0.6589030623435974,0.5355328321456909,522.0,877.0
5,0.5676995515823364,2262.0,2342.0,3.36606764793396,0.5964058637619019,0.5666974782943726,0.5752112865447998,0.5987473130226135,2983.0,3063.0,0.4973703920841217,1019.0,319.0,3.1620066165924072,0.503447949886322,0.4944532513618469,0.23441021144390106,0.5004758834838867,1012.0,312.0
6,0.5857276916503906,2242.0,2170.0,2.945408821105957,0.6219251155853271,0.5869027376174927,0.5789671540260315,0.6222293376922607,3155.0,3083.0,0.5093914270401001,412.0,894.0,2.8072092533111572,0.49893173575401306,0.5068946480751038,0.6904582977294922,0.4955736994743347,437.0,919.0
7,0.6018779277801514,2134.0,2106.0,2.620405673980713,0.6479255557060242,0.602416455745697,0.5992488265037537,0.6470872163772583,3219.0,3191.0,0.4887302815914154,500.0,861.0,2.5453693866729736,0.5034784078598022,0.49113476276397705,0.6243426203727722,0.48728662729263306,470.0,831.0
8,0.6207512021064758,2015.0,2024.0,2.3724560737609863,0.6772946715354919,0.6205474138259888,0.6215962171554565,0.6747766733169556,3301.0,3310.0,0.4759579300880432,866.0,529.0,2.344144105911255,0.4855920076370239,0.4678068459033966,0.349361389875412,0.48306071758270264,802.0,465.0
9,0.6309859156608582,1983.0,1947.0,2.181126117706299,0.6935852766036987,0.6318774819374084,0.6276056170463562,0.6861889958381653,3378.0,3342.0,0.4879789650440216,650.0,713.0,2.1827471256256104,0.4892019033432007,0.4885222315788269,0.5116453766822815,0.48678621649742126,618.0,681.0
10,0.6569952964782715,1878.0,1775.0,2.014238119125366,0.7216073274612427,0.6600919365882874,0.6473239660263062,0.7199522852897644,3550.0,3447.0,0.4951164424419403,481.0,863.0,2.059462070465088,0.4861282408237457,0.49620547890663147,0.6386175751686096,0.48981237411499023,468.0,850.0
11,0.6739906072616577,1794.0,1678.0,1.8792387247085571,0.7464103102684021,0.677865207195282,0.6630985736846924,0.7415570616722107,3647.0,3531.0,0.4868519902229309,664.0,702.0,1.957740068435669,0.5048686265945435,0.4872169494628906,0.5011269450187683,0.4951881468296051,629.0,667.0
