epoch,accuracy,fn,fp,loss,pr_auc,precision,recall,roc_auc,tn,tp,val_accuracy,val_fn,val_fp,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,val_tn,val_tp
0,0.4929564297199249,2714.0,2685.0,8.575210571289062,0.49592944979667664,0.49291783571243286,0.490232914686203,0.49294355511665344,2639.0,2610.0,0.49887385964393616,1078.0,257.0,7.957935333251953,0.5085887908935547,0.49706459045410156,0.19069069623947144,0.500254213809967,1075.0,254.0
1,0.5152141451835632,2698.0,2464.0,7.319148063659668,0.5193638801574707,0.5159135460853577,0.4932381808757782,0.5241017937660217,2860.0,2626.0,0.49924924969673157,176.0,1158.0,6.6458845138549805,0.5230515599250793,0.49956783652305603,0.8678678870201111,0.5187662243843079,174.0,1156.0
2,0.5108940601348877,2503.0,2705.0,5.980517387390137,0.5141929388046265,0.5104958415031433,0.5298647880554199,0.514961838722229,2619.0,2821.0,0.5105105042457581,738.0,566.0,5.306669235229492,0.509668231010437,0.5120689868927002,0.44594594836235046,0.5057624578475952,766.0,594.0
3,0.5167167782783508,2602.0,2544.0,4.692193031311035,0.5196465253829956,0.516900897026062,0.511269748210907,0.5215525031089783,2780.0,2722.0,0.5086336135864258,499.0,810.0,4.107788562774658,0.5134895443916321,0.5069993734359741,0.6253753900527954,0.5161327123641968,522.0,833.0
4,0.5229151248931885,2554.0,2526.0,3.6390676498413086,0.5387565493583679,0.5230362415313721,0.5202854871749878,0.5396115183830261,2798.0,2770.0,0.49924924969673157,537.0,797.0,3.2480978965759277,0.49272269010543823,0.49937185645103455,0.5968468189239502,0.4992627501487732,535.0,795.0
5,0.5276108384132385,2491.0,2539.0,2.9400618076324463,0.5357012152671814,0.5273641347885132,0.5321186780929565,0.5389384031295776,2785.0,2833.0,0.5157657861709595,676.0,614.0,2.6669325828552246,0.5183581113815308,0.5165354609489441,0.4924924969673157,0.5205292701721191,718.0,656.0
6,0.5301464796066284,2431.0,2572.0,2.431936025619507,0.5416722297668457,0.5293686985969543,0.5433884263038635,0.5437854528427124,2752.0,2893.0,0.5063813924789429,618.0,697.0,2.22672438621521,0.5142499804496765,0.5060241222381592,0.5360360145568848,0.5191951394081116,635.0,714.0
7,0.554094672203064,2334.0,2414.0,2.055737257003784,0.5660699009895325,0.5532938838005066,0.561607837677002,0.5739319324493408,2910.0,2990.0,0.5187687873840332,566.0,716.0,1.9157524108886719,0.5117867588996887,0.516869068145752,0.575075089931488,0.5211218595504761,616.0,766.0
8,0.55418860912323,2403.0,2344.0,1.7855865955352783,0.5684228539466858,0.5547958016395569,0.5486476421356201,0.5761781930923462,2980.0,2921.0,0.5067567825317383,331.0,983.0,1.6902060508728027,0.49695447087287903,0.5045362710952759,0.7515015006065369,0.5025919079780579,349.0,1001.0
9,0.5632982850074768,2292.0,2358.0,1.5887771844863892,0.5881689786911011,0.5625231862068176,0.5694966316223145,0.5900028347969055,2966.0,3032.0,0.5247747898101807,461.0,805.0,1.5252618789672852,0.506702184677124,0.5196897387504578,0.6539039015769958,0.5174668431282043,527.0,871.0
10,0.5813298225402832,2267.0,2191.0,1.440593957901001,0.6028590202331543,0.5825076103210449,0.5741923451423645,0.6094750165939331,3133.0,3057.0,0.5026276111602783,122.0,1203.0,1.4149556159973145,0.5006600618362427,0.5014504790306091,0.9084084033966064,0.509882926940918,129.0,1210.0
11,0.5880916714668274,2119.0,2267.0,1.3265509605407715,0.6248804330825806,0.5857090353965759,0.6019909977912903,0.6270285844802856,3057.0,3205.0,0.5030030012130737,864.0,460.0,1.3187975883483887,0.5063533782958984,0.5043103694915771,0.3513513505458832,0.5131716132164001,872.0,468.0
12,0.6024605631828308,2094.0,2139.0,1.23899507522583,0.6495862007141113,0.601601779460907,0.6066867113113403,0.6514258980751038,3185.0,3230.0,0.4932432472705841,834.0,516.0,1.2541086673736572,0.5053229331970215,0.4911242723464966,0.37387385964393616,0.5115242004394531,816.0,498.0
13,0.6219947338104248,2059.0,1966.0,1.1724905967712402,0.6676996946334839,0.6241636276245117,0.6132606863975525,0.672796905040741,3358.0,3265.0,0.5150150060653687,572.0,720.0,1.2120774984359741,0.5009840726852417,0.5135135054588318,0.5705705881118774,0.5108514428138733,612.0,760.0
14,0.6463185548782349,1853.0,1913.0,1.1150860786437988,0.6935256123542786,0.6446879506111145,0.651953399181366,0.7014875411987305,3411.0,3471.0,0.5285285115242004,480.0,776.0,1.176326870918274,0.5234558582305908,0.5233415365219116,0.6396396160125732,0.5344823598861694,556.0,852.0
15,0.671675443649292,1714.0,1782.0,1.0648077726364136,0.7244249582290649,0.6695103645324707,0.6780616044998169,0.7320838570594788,3542.0,3610.0,0.5123873949050903,538.0,761.0,1.1651935577392578,0.5140569806098938,0.5106109380722046,0.5960960984230042,0.5237157344818115,571.0,794.0
16,0.6888617873191833,1650.0,1663.0,1.0207364559173584,0.753905177116394,0.6884016990661621,0.6900826692581177,0.7577102780342102,3661.0,3674.0,0.5240240097045898,619.0,649.0,1.1495137214660645,0.5262680053710938,0.5234948396682739,0.5352852940559387,0.5300700664520264,683.0,713.0
17,0.7157212495803833,1518.0,1509.0,0.9774273633956909,0.7800810933113098,0.7160865664482117,0.7148760557174683,0.7872719764709473,3815.0,3806.0,0.5228978991508484,590.0,681.0,1.1459956169128418,0.5262479186058044,0.5214335918426514,0.5570570826530457,0.5351082682609558,651.0,742.0
18,0.7373215556144714,1391.0,1406.0,0.9333383440971375,0.8087950944900513,0.7366548180580139,0.738730251789093,0.8144042491912842,3918.0,3933.0,0.5243993997573853,669.0,598.0,1.1584712266921997,0.5244454145431519,0.5257731676101685,0.4977477490901947,0.529244065284729,734.0,663.0
19,0.7561044096946716,1276.0,1321.0,0.8947917222976685,0.8369631171226501,0.7539579272270203,0.7603305578231812,0.838200032711029,4003.0,4048.0,0.5127627849578857,532.0,766.0,1.1672641038894653,0.5394282937049866,0.5108556747436523,0.6006006002426147,0.5377931594848633,566.0,800.0
