cv,val_roc_auc,val_pr_auc
0,0.5469097495079039,0.5459165573120117
1,0.5633600950241089,0.5748926997184753
2,0.5562190413475037,0.5590850114822388
3,0.5011326074600221,0.5006222724914551
4,0.5821893811225891,0.5995844006538391
