fpr,tpr,std_fpr,std_tpr,type
0.0,0.0,0.0,0.0,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.005,0.02313575784650165,0.0,0.009865392686870271,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.01,0.032451384517500216,0.0,0.017863147619762567,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.015,0.03906182666513246,0.0,0.018669769156989802,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.02,0.04807613774555923,0.0,0.022885537275510116,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.025,0.053935377902320045,0.0,0.02362002274370397,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.03,0.05949375370862975,0.0,0.02431530421033447,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.035,0.06505337042527125,0.0,0.022665089830091068,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.04,0.07076234762185177,0.0,0.023330980264040426,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.045,0.07677196354882306,0.0,0.025428464857540464,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.05,0.08308221820618515,0.0,0.02579993989409891,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.05500000000000001,0.09284705441730234,6.938893903907228e-18,0.02786244026980213,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.06,0.09855648285400351,0.0,0.026414900080352133,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.065,0.10441617425088501,0.0,0.027817411941711973,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.07,0.10847259731557253,0.0,0.029570198415317824,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.075,0.11252913319029023,0.0,0.029308723766174296,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.08,0.12034043810903317,0.0,0.029761478059732265,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.085,0.12680061729648506,0.0,0.03120821631073069,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.09,0.1344616592550477,0.0,0.03329985375096712,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.095,0.1412231540330714,0.0,0.030688289670801883,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.1,0.14467818682694716,0.0,0.03125943121060452,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
