epoch,accuracy,fn,fp,loss,pr_auc,precision,recall,roc_auc,tn,tp,val_accuracy,val_fn,val_fp,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,val_tn,val_tp
0,0.5048826336860657,2638.0,2635.0,8.502004623413086,0.5056344866752625,0.5048853754997253,0.5046009421348572,0.5063785314559937,2690.0,2687.0,0.5311795473098755,706.0,542.0,7.890260219573975,0.5465945601463318,0.5355612635612488,0.4695717394351959,0.5310274362564087,789.0,625.0
1,0.5175586938858032,2725.0,2413.0,7.2570343017578125,0.5280239582061768,0.5186514854431152,0.48826292157173157,0.530122697353363,2912.0,2600.0,0.5296769142150879,596.0,656.0,6.5813517570495605,0.5369935631752014,0.5283968448638916,0.5522163510322571,0.5464273691177368,675.0,735.0
2,0.5326760411262512,2592.0,2385.0,5.970109939575195,0.5494266748428345,0.533997654914856,0.5132394433021545,0.5495426058769226,2940.0,2733.0,0.5281742811203003,673.0,583.0,5.3955583572387695,0.5315247774124146,0.5302175879478455,0.4943651258945465,0.5345237851142883,748.0,658.0
3,0.5406572818756104,2564.0,2328.0,4.899191379547119,0.5576240420341492,0.5425427556037903,0.51849764585495,0.5577548146247864,2997.0,2761.0,0.5334334969520569,847.0,395.0,4.442970275878906,0.5380880236625671,0.5506256818771362,0.3636363744735718,0.5427764058113098,936.0,484.0
4,0.5461971759796143,2510.0,2323.0,4.070004940032959,0.5770071148872375,0.5478785634040833,0.528638482093811,0.5750944018363953,3002.0,2815.0,0.5120210647583008,1098.0,201.0,3.754230499267578,0.5266509056091309,0.5368663668632507,0.1750563532114029,0.5346195101737976,1130.0,233.0
5,0.578685462474823,2306.0,2181.0,3.4726765155792236,0.603725016117096,0.5805768966674805,0.5669483542442322,0.6095718145370483,3144.0,3019.0,0.5063861608505249,1171.0,143.0,3.252201795578003,0.5353221893310547,0.528052806854248,0.12021036446094513,0.5491143465042114,1188.0,160.0
6,0.5801877975463867,2295.0,2176.0,3.0295846462249756,0.624261736869812,0.5820207595825195,0.5690140724182129,0.6188575029373169,3149.0,3030.0,0.5364387631416321,573.0,661.0,2.874117612838745,0.5477338433265686,0.5341789722442627,0.5694966316223145,0.5566999316215515,670.0,758.0
7,0.6026291251182556,2182.0,2050.0,2.6923840045928955,0.6520090699195862,0.6052378416061401,0.5902347564697266,0.6496754288673401,3275.0,3143.0,0.5371900796890259,630.0,602.0,2.59049391746521,0.541355550289154,0.5379892587661743,0.5266716480255127,0.5540765523910522,729.0,701.0
8,0.621877908706665,2085.0,1942.0,2.430004119873047,0.6785295605659485,0.625241219997406,0.608450710773468,0.675250768661499,3383.0,3240.0,0.5199098587036133,731.0,547.0,2.3830535411834717,0.5209438800811768,0.5231037735939026,0.4507888853549957,0.5344278812408447,784.0,600.0
9,0.6289201974868774,2027.0,1925.0,2.229147434234619,0.6947611570358276,0.6314378976821899,0.6193427443504333,0.6903949975967407,3400.0,3298.0,0.5184072256088257,923.0,359.0,2.2168021202087402,0.5216313004493713,0.53194260597229,0.3065364360809326,0.5411879420280457,972.0,408.0
10,0.6564319133758545,1893.0,1766.0,2.05342698097229,0.7324821352958679,0.6602539420127869,0.6445070505142212,0.7211648225784302,3559.0,3432.0,0.507513165473938,751.0,560.0,2.097571611404419,0.5081883668899536,0.5087719559669495,0.43576258420944214,0.5204745531082153,771.0,580.0
11,0.6733333468437195,1798.0,1681.0,1.915125846862793,0.7512081861495972,0.6772273182868958,0.6623474359512329,0.7444105744361877,3644.0,3527.0,0.5101427435874939,718.0,586.0,1.9863024950027466,0.5118388533592224,0.5112593770027161,0.4605559706687927,0.5235224962234497,745.0,613.0
12,0.6858215928077698,1690.0,1656.0,1.8030139207839966,0.7672284245491028,0.6870157122612,0.6826291084289551,0.7600439786911011,3669.0,3635.0,0.5176559090614319,908.0,376.0,1.9027979373931885,0.5323476791381836,0.529411792755127,0.3178061544895172,0.5376216173171997,955.0,423.0
13,0.7042253613471985,1635.0,1515.0,1.702369213104248,0.7849829196929932,0.7089337110519409,0.6929577589035034,0.7792641520500183,3810.0,3690.0,0.5285499691963196,841.0,414.0,1.8370131254196167,0.530884861946106,0.5420354008674622,0.3681442439556122,0.5429527759552002,917.0,490.0
14,0.7153990864753723,1577.0,1454.0,1.6170532703399658,0.8009921908378601,0.7204921245574951,0.7038497924804688,0.7939325571060181,3871.0,3748.0,0.523290753364563,953.0,316.0,1.8071534633636475,0.5371066331863403,0.5446686148643494,0.2839969992637634,0.5456845760345459,1015.0,378.0
15,0.731455385684967,1487.0,1373.0,1.5399521589279175,0.8172128796577454,0.736518919467926,0.720751166343689,0.8104546666145325,3952.0,3838.0,0.5206611752510071,982.0,294.0,1.7811461687088013,0.5477679371833801,0.5427682995796204,0.26220887899398804,0.5364866852760315,1037.0,349.0
16,0.7445070147514343,1389.0,1332.0,1.4738892316818237,0.8306640982627869,0.7471526265144348,0.7391549348831177,0.8242984414100647,3993.0,3936.0,0.5338091850280762,933.0,308.0,1.7318662405014038,0.5527429580688477,0.5637393593788147,0.299023300409317,0.5462687611579895,1023.0,398.0
17,0.7571830749511719,1329.0,1257.0,1.406247854232788,0.8473641276359558,0.7607081532478333,0.7504225373268127,0.8437917232513428,4068.0,3996.0,0.5214124917984009,898.0,376.0,1.7056015729904175,0.5394433736801147,0.5352286696434021,0.3253193199634552,0.5355748534202576,955.0,433.0
18,0.766291081905365,1281.0,1208.0,1.35270094871521,0.8595624566078186,0.7699924111366272,0.7594366073608398,0.8537524342536926,4117.0,4044.0,0.538317084312439,906.0,323.0,1.704643726348877,0.5468834638595581,0.5681818127632141,0.3193087875843048,0.5493919849395752,1008.0,425.0
19,0.7843192219734192,1182.0,1115.0,1.294180989265442,0.8749549388885498,0.7879421710968018,0.7780281901359558,0.8710983991622925,4210.0,4143.0,0.5341848134994507,887.0,353.0,1.7073277235031128,0.5459165573120117,0.55708909034729,0.3335837721824646,0.546909749507904,978.0,444.0
