epoch,accuracy,fn,fp,loss,pr_auc,precision,recall,roc_auc,tn,tp,val_accuracy,val_fn,val_fp,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,val_tn,val_tp
0,0.5020657181739807,2644.0,2659.0,8.478775024414062,0.499612033367157,0.5020599365234375,0.5034741759300232,0.5007666945457458,2666.0,2681.0,0.5078887939453125,103.0,1207.0,7.863146781921387,0.5200474262237549,0.5043120980262756,0.922614574432373,0.5209123492240906,124.0,1228.0
1,0.5249765515327454,2410.0,2649.0,7.206456184387207,0.5248110294342041,0.5239036679267883,0.5474178194999695,0.5322098135948181,2676.0,2915.0,0.5131480097770691,190.0,1106.0,6.524941444396973,0.5226198434829712,0.5077881813049316,0.8572502136230469,0.5300601720809937,225.0,1141.0
2,0.5261971950531006,2230.0,2816.0,5.9005255699157715,0.5456379055976868,0.5236000418663025,0.5812206864356995,0.5453548431396484,2509.0,3095.0,0.5052592158317566,279.0,1038.0,5.316732883453369,0.5019629597663879,0.5033493041992188,0.7903831601142883,0.49437618255615234,293.0,1052.0
3,0.5441314578056335,2324.0,2531.0,4.78975248336792,0.5667001008987427,0.5424801111221313,0.5635680556297302,0.5629099607467651,2794.0,3001.0,0.5097671151161194,326.0,979.0,4.337464809417725,0.5093505382537842,0.5065523982048035,0.7550714015960693,0.5093951225280762,352.0,1005.0
4,0.5542722940444946,2356.0,2391.0,3.9783856868743896,0.5891734957695007,0.5539178848266602,0.5575586557388306,0.5836231112480164,2934.0,2969.0,0.5048835277557373,470.0,848.0,3.692113161087036,0.5157802700996399,0.5038033723831177,0.6468820571899414,0.5192005634307861,483.0,861.0
5,0.5778403878211975,2229.0,2267.0,3.429288387298584,0.6159582138061523,0.577288806438446,0.5814084410667419,0.6135321259498596,3058.0,3096.0,0.5097671151161194,587.0,718.0,3.237994432449341,0.5148109197616577,0.5088919401168823,0.5589781999588013,0.5190036296844482,613.0,744.0
6,0.5918309688568115,2324.0,2023.0,3.019709587097168,0.633897066116333,0.597332775592804,0.5635680556297302,0.6305847764015198,3302.0,3001.0,0.530803918838501,354.0,895.0,2.8837122917175293,0.5235248804092407,0.5219017267227173,0.734034538269043,0.5362558960914612,436.0,977.0
7,0.609577476978302,2181.0,1977.0,2.6973068714141846,0.6638702154159546,0.613942563533783,0.590422511100769,0.6602703332901001,3348.0,3144.0,0.5210368037223816,359.0,916.0,2.6196846961975098,0.5302472710609436,0.5148305296897888,0.7302780151367188,0.538837194442749,415.0,972.0
8,0.6205633878707886,2042.0,1999.0,2.4527063369750977,0.6860722303390503,0.6215448975563049,0.6165258288383484,0.6787666082382202,3326.0,3283.0,0.5413222908973694,509.0,712.0,2.418051242828369,0.523927628993988,0.5358539819717407,0.617580771446228,0.5334998369216919,619.0,822.0
9,0.6436619758605957,1959.0,1836.0,2.251850128173828,0.7104817628860474,0.6470588445663452,0.6321126818656921,0.7016305327415466,3489.0,3366.0,0.5131480097770691,526.0,770.0,2.2592415809631348,0.5092118978500366,0.5111111402511597,0.6048083901405334,0.5147406458854675,561.0,805.0
10,0.6623474359512329,1864.0,1732.0,2.0867395401000977,0.7347526550292969,0.6664741039276123,0.6499530673027039,0.7237923741340637,3593.0,3461.0,0.5060105323791504,633.0,682.0,2.1291847229003906,0.51082843542099,0.5057970881462097,0.5244177579879761,0.5118626952171326,649.0,698.0
11,0.6690140962600708,1845.0,1680.0,1.9520080089569092,0.7482430934906006,0.6744186282157898,0.6535211205482483,0.7392630577087402,3645.0,3480.0,0.5093914270401001,426.0,880.0,2.0289177894592285,0.5086546540260315,0.5070028305053711,0.679939866065979,0.5135189294815063,451.0,905.0
12,0.6874178647994995,1705.0,1624.0,1.8338981866836548,0.767228364944458,0.6903127431869507,0.6798121929168701,0.7587594985961914,3701.0,3620.0,0.5214124917984009,532.0,742.0,1.953115701675415,0.5069692730903625,0.5184944868087769,0.6003005504608154,0.5125691294670105,589.0,799.0
13,0.7087323665618896,1607.0,1495.0,1.7319177389144897,0.7897579073905945,0.7132169604301453,0.6982159614562988,0.7817075848579407,3830.0,3718.0,0.5022539496421814,522.0,803.0,1.8845361471176147,0.5044223070144653,0.501861035823822,0.6078136563301086,0.5032281875610352,528.0,809.0
14,0.720187783241272,1563.0,1417.0,1.6434334516525269,0.8085771203041077,0.7263950705528259,0.7064788937568665,0.7985494136810303,3908.0,3762.0,0.5071374773979187,685.0,627.0,1.8354090452194214,0.4990004897117615,0.5074626803398132,0.4853493571281433,0.50238436460495,704.0,646.0
15,0.7362441420555115,1457.0,1352.0,1.5652706623077393,0.8217495083808899,0.7409961819648743,0.7263849973678589,0.8174227476119995,3973.0,3868.0,0.5048835277557373,731.0,587.0,1.7983347177505493,0.49566906690597534,0.5054759979248047,0.4507888853549957,0.4962860345840454,744.0,600.0
16,0.7465727925300598,1412.0,1287.0,1.50048828125,0.8325676321983337,0.7524999976158142,0.734835684299469,0.8283647298812866,4038.0,3913.0,0.5067618489265442,638.0,675.0,1.7475157976150513,0.5002782344818115,0.5065789222717285,0.5206611752510071,0.5046840310096741,656.0,693.0
17,0.763568103313446,1277.0,1241.0,1.4352022409439087,0.8494347929954529,0.7653620839118958,0.7601878046989441,0.844474732875824,4084.0,4048.0,0.5187828540802002,648.0,633.0,1.7094117403030396,0.5148799419403076,0.5189969539642334,0.5131480097770691,0.517909049987793,698.0,683.0
18,0.7665727734565735,1275.0,1211.0,1.3791942596435547,0.8607232570648193,0.7698156237602234,0.7605633735656738,0.8549780249595642,4114.0,4050.0,0.5063861608505249,847.0,467.0,1.7153184413909912,0.49491509795188904,0.5089379549026489,0.3636363744735718,0.4998805820941925,864.0,484.0
19,0.7848826050758362,1171.0,1120.0,1.3239408731460571,0.8731269836425781,0.78763747215271,0.7800939083099365,0.8698297739028931,4205.0,4154.0,0.5026295781135559,587.0,737.0,1.6890690326690674,0.5006222724914551,0.5023632645606995,0.5589781999588013,0.501132607460022,594.0,744.0
