epoch,accuracy,fn,fp,loss,pr_auc,precision,recall,roc_auc,tn,tp,val_accuracy,val_fn,val_fp,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,val_tn,val_tp
0,0.5084506869316101,2536.0,2699.0,8.321287155151367,0.505422055721283,0.5081996917724609,0.5237558484077454,0.5073695778846741,2626.0,2789.0,0.4988730251789093,1234.0,100.0,7.6784749031066895,0.5073461532592773,0.49238577485084534,0.07287753373384476,0.5156703591346741,1231.0,97.0
1,0.515117347240448,2546.0,2618.0,7.039416790008545,0.5240781903266907,0.5149157047271729,0.5218779444694519,0.5223783254623413,2707.0,2779.0,0.5176559090614319,1106.0,178.0,6.396306991577148,0.5181179642677307,0.5583126544952393,0.1690458357334137,0.5217207074165344,1153.0,225.0
2,0.5207511782646179,2496.0,2608.0,5.784993648529053,0.5332228541374207,0.5203236937522888,0.5312675833702087,0.5352550745010376,2717.0,2829.0,0.4996243417263031,1283.0,49.0,5.218112945556641,0.5209839940071106,0.49484536051750183,0.03606310859322548,0.532384991645813,1282.0,48.0
3,0.5415962338447571,2405.0,2477.0,4.729783535003662,0.5643441677093506,0.5410413146018982,0.548356831073761,0.5635101795196533,2848.0,2920.0,0.5097671151161194,1182.0,123.0,4.302696704864502,0.5287784337997437,0.5477941036224365,0.11194590479135513,0.54142165184021,1208.0,149.0
4,0.5560563206672668,2338.0,2390.0,3.936096668243408,0.5812851786613464,0.5555142164230347,0.5609389543533325,0.5849692225456238,2935.0,2987.0,0.5210368037223816,1158.0,117.0,3.635262966156006,0.5249526500701904,0.5965517163276672,0.12997746467590332,0.5272756218910217,1214.0,173.0
5,0.5734272003173828,2205.0,2338.0,3.355790376663208,0.6079419851303101,0.5716379880905151,0.5859155058860779,0.6056022047996521,2987.0,3120.0,0.5078887939453125,1254.0,56.0,3.1529700756073,0.5273405313491821,0.5789473652839661,0.057851240038871765,0.5285040140151978,1275.0,77.0
6,0.5823473930358887,2264.0,2184.0,2.927138566970825,0.6299204230308533,0.5836034417152405,0.5748356580734253,0.6264480352401733,3141.0,3061.0,0.5356874465942383,727.0,509.0,2.7817561626434326,0.5435246229171753,0.5426774621009827,0.4537941515445709,0.5508861541748047,822.0,604.0
7,0.6059154868125916,2163.0,2034.0,2.6004128456115723,0.6524199843406677,0.6085450053215027,0.593802809715271,0.6486656069755554,3291.0,3162.0,0.5244177579879761,987.0,279.0,2.5037784576416016,0.5319441556930542,0.5521669387817383,0.25845229625701904,0.5387449264526367,1052.0,344.0
8,0.6214084625244141,2060.0,1972.0,2.3368000984191895,0.6798462271690369,0.6234485507011414,0.6131455302238464,0.6752314567565918,3353.0,3265.0,0.5169045925140381,1042.0,244.0,2.292104959487915,0.5329862236976624,0.5422138571739197,0.21712997555732727,0.5419833064079285,1087.0,289.0
9,0.6422535181045532,1977.0,1833.0,2.1366817951202393,0.6986644864082336,0.6462072730064392,0.6287323832511902,0.6986738443374634,3492.0,3348.0,0.5251690745353699,875.0,389.0,2.1319899559020996,0.5229157209396362,0.5396449565887451,0.3425995409488678,0.5359871983528137,942.0,456.0
10,0.6596243977546692,1850.0,1775.0,1.977840781211853,0.7251546382904053,0.6619047522544861,0.6525821685791016,0.7200946807861328,3550.0,3475.0,0.5244177579879761,676.0,590.0,2.0070550441741943,0.5193694233894348,0.5261043906211853,0.4921112060546875,0.5318326950073242,741.0,655.0
11,0.671924889087677,1766.0,1728.0,1.8465131521224976,0.7450236678123474,0.6731605529785156,0.6683568358421326,0.7427189946174622,3597.0,3559.0,0.5368144512176514,772.0,461.0,1.9016774892807007,0.5364277958869934,0.5480391979217529,0.41998496651649475,0.5517885088920593,870.0,559.0
12,0.6846948266029358,1694.0,1664.0,1.7427092790603638,0.7585071325302124,0.6857412457466125,0.6818779110908508,0.7542251944541931,3661.0,3631.0,0.5210368037223816,904.0,371.0,1.8378959894180298,0.5170059204101562,0.5350877046585083,0.3208114206790924,0.537051796913147,960.0,427.0
