cv,val_roc_auc,val_pr_auc
0,0.6047,0.5995
1,0.5793,0.6016
2,0.5216,0.4873
3,0.5273,0.5087
4,0.4958,0.4769
5,0.6322,0.5896
6,0.5491,0.5801
7,0.5691,0.5164
8,0.4823,0.4831
9,0.6263,0.5651
