recall,precision
0.0,1.0
0.005,1.0
0.01,1.0
0.015,1.0
0.02,0.9301477832512315
0.025,0.8927453769559033
0.03,0.8694492753623189
0.035,0.8233709273182958
0.04,0.7690434782608696
0.045,0.7498101265822785
0.05,0.751685393258427
0.055,0.7306950495049505
0.06,0.714079794079794
0.065,0.6894361904761904
0.07,0.6555087166354773
0.075,0.6533668730650155
0.08,0.6595659842036654
0.085,0.6498660098522168
0.09,0.6380657640232109
0.095,0.6373503883051621
0.1,0.6459734534027485
0.105,0.6419709973364901
0.11,0.638374026960319
0.115,0.6172123979790128
0.12,0.612788682581786
0.125,0.6178094451328652
0.13,0.6247648235202452
0.135,0.6269430569430569
0.14,0.6226782608695652
0.145,0.6267925440255537
0.15,0.6306812282873457
0.155,0.6363179487179488
0.16,0.6266020355356219
0.165,0.6265460317460317
0.17,0.6230457421366512
0.17500000000000002,0.6230951871657755
0.18,0.6151473205457781
0.185,0.6093164649798313
0.19,0.6053385253108906
0.195,0.6030083634597745
0.2,0.6049041434755721
0.20500000000000002,0.6053738987108295
0.21,0.6084569479965899
0.215,0.6049681091158866
0.22,0.6091800450306674
0.225,0.6132593281705723
0.23,0.6110575661426152
0.23500000000000001,0.6089646027728457
0.24,0.6069716668710904
0.245,0.6084570165930125
0.25,0.6121323529411765
0.255,0.6101746896916936
0.26,0.6072377792116017
0.265,0.6096583418493884
0.27,0.6078693922348745
0.275,0.603161308852857
0.28,0.6015871593100214
0.28500000000000003,0.5944377725776464
0.29,0.5940208436724566
0.295,0.594516847751341
0.3,0.5932301885794155
0.305,0.5902709521720053
0.31,0.5899530758226037
0.315,0.5938179115361961
0.32,0.5942779221687393
0.325,0.5930948756976154
0.33,0.5903619109475355
0.335,0.5885098084203281
0.34,0.5836984369803792
0.34500000000000003,0.5827730597749513
0.35000000000000003,0.5789864833623599
0.355,0.5795846565620113
0.36,0.5746056089260327
0.365,0.569844494290711
0.37,0.5711834559742763
0.375,0.5731496013229547
0.38,0.570539626435906
0.385,0.5686499848653012
0.39,0.5711834040546911
0.395,0.5730498007448658
0.4,0.5717964438994482
0.405,0.5736127930901938
0.41000000000000003,0.5717815067142763
0.41500000000000004,0.5641878009630819
0.42,0.5564130045597064
0.425,0.5538596622114077
0.43,0.5545915036358314
0.435,0.5553084052412912
0.44,0.5549579283850807
0.445,0.5540971822735896
0.45,0.5553084131397384
0.455,0.5575221027923588
0.46,0.5586840021558465
0.465,0.5603321086954743
0.47000000000000003,0.5554727293322509
0.47500000000000003,0.5551460191303544
0.48,0.5548265394622723
0.485,0.5512021915161672
0.49,0.5481572860882389
0.495,0.544755949253059
0.5,0.5419039869812856
0.505,0.5417424392826418
0.51,0.5402919864972371
0.515,0.5410022184100647
0.52,0.5425491269457462
0.525,0.5390425694948519
0.53,0.538095663336496
0.535,0.5383870883029277
0.54,0.5338756088373108
0.545,0.5264478371929766
0.55,0.5268228953860635
0.555,0.5268160819408146
0.56,0.527554582573817
0.5650000000000001,0.5282819633353045
0.5700000000000001,0.5246123242219567
0.5750000000000001,0.5239072239372804
0.58,0.5210985864994454
0.585,0.5221883804492456
0.59,0.5225682677198794
0.595,0.5232875472487803
0.6,0.5250295296906048
0.605,0.526066326382695
0.61,0.5264071235967884
0.615,0.5281011585475284
0.62,0.5264016467007453
0.625,0.5263989409637677
0.63,0.5270575570886447
0.635,0.5283666848844472
0.64,0.527368063336946
0.645,0.5283308725527328
0.65,0.529606039848929
0.655,0.5292575671045118
0.66,0.5305107476196681
0.665,0.5292093057135573
0.67,0.5294996744001043
0.675,0.5279196612440349
0.68,0.527905971579441
0.685,0.5285040334782384
0.6900000000000001,0.5284863146345171
0.6950000000000001,0.5287706616627234
0.7000000000000001,0.5281522237799929
0.705,0.5275440069649042
0.71,0.5272394503336088
0.715,0.5281082957327834
0.72,0.5292598342361824
0.725,0.5301092088821053
0.73,0.5300813040984849
0.735,0.5294804788563576
0.74,0.5294572348580825
0.745,0.5266246768825288
0.75,0.5255128879537085
0.755,0.5266172744700632
0.76,0.5255201349786415
0.765,0.5263380795267687
0.77,0.5233818170453479
0.775,0.5218116308192543
0.78,0.5226262051422779
0.785,0.52212598684391
0.79,0.5206007837586646
0.795,0.5188491512234488
0.8,0.5183887642364169
0.805,0.5191888455777737
0.81,0.5187314814814815
0.8150000000000001,0.5192721369093792
0.8200000000000001,0.5180814130819125
0.8250000000000001,0.5176409531973987
0.8300000000000001,0.5164816423454845
0.835,0.5155802196697349
0.84,0.5163553018265675
0.845,0.5133497883111825
0.85,0.5129575773395585
0.855,0.5125705371077405
0.86,0.5126469870758804
0.865,0.5129508623549118
0.87,0.5130243713660269
0.875,0.5126456768899254
0.88,0.5131689423522784
0.885,0.5121251742999965
0.89,0.5126444109344356
0.895,0.5103033100626608
0.9,0.5080091391784798
0.905,0.5081054890281264
0.91,0.508413996876451
0.915,0.5082951583557845
0.92,0.5077565424236504
0.925,0.5070161646632235
0.93,0.5067000291185123
0.935,0.5063876650234579
0.9400000000000001,0.5046511943632201
0.9450000000000001,0.5045575738485794
0.9500000000000001,0.5050690319281629
0.9550000000000001,0.5045734686681047
0.96,0.5032903903540983
0.965,0.5032062395505611
0.97,0.5027314721065703
0.975,0.5032355405782868
0.98,0.5039299386501239
0.985,0.5024932770590674
0.99,0.5026070095217727
0.995,0.5011987708375635
1.0,0.5001877581674803
