fpr,tpr
0.0,0.0
0.005,0.03153153153153153
0.01,0.036036036036036036
0.015,0.04354354354354354
0.02,0.0533033033033033
0.025,0.06006006006006006
0.03,0.06906906906906907
0.035,0.06981981981981981
0.04,0.07657657657657657
0.045,0.08258258258258258
0.05,0.08783783783783784
0.055,0.10285285285285285
0.06,0.1066066066066066
0.065,0.11036036036036036
0.07,0.11486486486486487
0.075,0.11861861861861862
0.08,0.13438438438438438
0.085,0.14189189189189189
0.09,0.15765765765765766
0.095,0.15990990990990991
0.1,0.16666666666666666
0.105,0.17492492492492492
0.11,0.17792792792792791
0.115,0.18243243243243243
0.12,0.18543543543543545
0.125,0.19144144144144143
0.13,0.19894894894894896
0.135,0.20945945945945946
0.14,0.21396396396396397
0.145,0.22897897897897898
0.15,0.23423423423423423
0.155,0.23873873873873874
0.16,0.25225225225225223
0.165,0.2575075075075075
0.17,0.26651651651651653
0.17500000000000002,0.27102102102102105
0.18,0.2725225225225225
0.185,0.27927927927927926
0.19,0.28153153153153154
0.195,0.28678678678678676
0.2,0.2927927927927928
0.20500000000000002,0.2987987987987988
0.21,0.30180180180180183
0.215,0.30855855855855857
0.22,0.3235735735735736
0.225,0.32657657657657657
0.23,0.3310810810810811
0.23500000000000001,0.33708708708708707
0.24,0.33708708708708707
0.245,0.34384384384384387
0.25,0.34534534534534533
0.255,0.3506006006006006
0.26,0.3566066066066066
0.265,0.3588588588588589
0.27,0.36261261261261263
0.275,0.36486486486486486
0.28,0.37537537537537535
0.28500000000000003,0.3783783783783784
0.29,0.38213213213213215
0.295,0.3963963963963964
0.3,0.40015015015015015
0.305,0.4091591591591592
0.31,0.41216216216216217
0.315,0.41366366366366364
0.32,0.4144144144144144
0.325,0.4166666666666667
0.33,0.4174174174174174
0.335,0.42042042042042044
0.34,0.4241741741741742
0.34500000000000003,0.4286786786786787
0.35000000000000003,0.4369369369369369
0.355,0.4421921921921922
0.36,0.4496996996996997
0.365,0.46546546546546547
0.37,0.466966966966967
0.375,0.46996996996997
0.38,0.4722222222222222
0.385,0.4797297297297297
0.39,0.4827327327327327
0.395,0.48573573573573575
0.4,0.487987987987988
0.405,0.49099099099099097
0.41000000000000003,0.4924924924924925
0.41500000000000004,0.496996996996997
0.42,0.5
0.425,0.5022522522522522
0.43,0.5075075075075075
0.435,0.5127627627627628
0.44,0.5217717717717718
0.445,0.5232732732732732
0.45,0.527027027027027
0.455,0.5315315315315315
0.46,0.5352852852852853
0.465,0.5375375375375375
0.47000000000000003,0.5382882882882883
0.47500000000000003,0.5420420420420421
0.48,0.5420420420420421
0.485,0.5420420420420421
0.49,0.5435435435435435
0.495,0.5525525525525525
0.5,0.5585585585585585
0.505,0.5653153153153153
0.51,0.566066066066066
0.515,0.5690690690690691
0.52,0.5735735735735735
0.525,0.5758258258258259
0.53,0.5773273273273273
0.535,0.5848348348348348
0.54,0.5930930930930931
0.545,0.6043543543543544
0.55,0.6156156156156156
0.555,0.6186186186186187
0.56,0.6231231231231231
0.5650000000000001,0.6291291291291291
0.5700000000000001,0.6381381381381381
0.5750000000000001,0.6411411411411412
0.58,0.6539039039039038
0.585,0.6606606606606606
0.59,0.6621621621621622
0.595,0.668918918918919
0.6,0.6741741741741741
0.605,0.6794294294294294
0.61,0.6824324324324325
0.615,0.68993993993994
0.62,0.6951951951951952
0.625,0.6996996996996997
0.63,0.7042042042042042
0.635,0.7094594594594594
0.64,0.7184684684684685
0.645,0.7282282282282282
0.65,0.7327327327327328
0.655,0.7387387387387387
0.66,0.7417417417417418
0.665,0.7447447447447447
0.67,0.746996996996997
0.675,0.7492492492492493
0.68,0.756006006006006
0.685,0.7597597597597597
0.6900000000000001,0.765015015015015
0.6950000000000001,0.7672672672672672
0.7000000000000001,0.7687687687687688
0.705,0.7717717717717718
0.71,0.7747747747747747
0.715,0.7807807807807807
0.72,0.7867867867867868
0.725,0.7867867867867868
0.73,0.7912912912912913
0.735,0.7935435435435435
0.74,0.7957957957957958
0.745,0.8048048048048048
0.75,0.8093093093093093
0.755,0.816066066066066
0.76,0.8190690690690691
0.765,0.8205705705705706
0.77,0.8258258258258259
0.775,0.8288288288288288
0.78,0.831081081081081
0.785,0.8363363363363363
0.79,0.8408408408408409
0.795,0.8415915915915916
0.8,0.8438438438438438
0.805,0.8498498498498499
0.81,0.8521021021021021
0.8150000000000001,0.8573573573573574
0.8200000000000001,0.8626126126126126
0.8250000000000001,0.8671171171171171
0.8300000000000001,0.8708708708708709
0.835,0.8813813813813813
0.84,0.8828828828828829
0.845,0.8881381381381381
0.85,0.8911411411411412
0.855,0.8933933933933934
0.86,0.8956456456456456
0.865,0.8963963963963963
0.87,0.8993993993993994
0.875,0.9024024024024024
0.88,0.9106606606606606
0.885,0.9129129129129129
0.89,0.9196696696696697
0.895,0.9234234234234234
0.9,0.9264264264264265
0.905,0.9286786786786787
0.91,0.9346846846846847
0.915,0.9361861861861862
0.92,0.9376876876876877
0.925,0.9436936936936937
0.93,0.9466966966966966
0.935,0.9527027027027027
0.9400000000000001,0.9564564564564565
0.9450000000000001,0.9587087087087087
0.9500000000000001,0.9624624624624625
0.9550000000000001,0.9669669669669669
0.96,0.9707207207207207
0.965,0.9812312312312312
0.97,0.9842342342342343
0.975,0.984984984984985
0.98,0.9917417417417418
0.985,0.9932432432432432
0.99,0.9947447447447447
0.995,0.9984984984984985
1.0,1.0
