epoch,accuracy,fn,fp,loss,pr_auc,precision,recall,roc_auc,tn,tp,val_accuracy,val_fn,val_fp,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,val_tn,val_tp
0,0.5070422291755676,2698.0,2552.0,8.489106178283691,0.503761887550354,0.5072407722473145,0.4933333396911621,0.5081745386123657,2773.0,2627.0,0.4853493571281433,1018.0,352.0,7.877988338470459,0.4871605336666107,0.4706766903400421,0.23516152799129486,0.49237537384033203,979.0,313.0
1,0.5216901302337646,2517.0,2577.0,7.231807708740234,0.5293015241622925,0.5214484930038452,0.5273239612579346,0.5336137413978577,2748.0,2808.0,0.4958677589893341,443.0,899.0,6.55823278427124,0.48330962657928467,0.49692222476005554,0.6671675443649292,0.49135881662368774,432.0,888.0
2,0.5266666412353516,2461.0,2580.0,5.934370517730713,0.5372388362884521,0.526083767414093,0.5378403663635254,0.5390555262565613,2745.0,2864.0,0.5003756284713745,954.0,376.0,5.347458362579346,0.502447783946991,0.5006639957427979,0.28324568271636963,0.5064378380775452,955.0,377.0
3,0.5395305156707764,2493.0,2411.0,4.854241847991943,0.564049482345581,0.5401487946510315,0.5318309664726257,0.5566253662109375,2914.0,2832.0,0.5007513165473938,836.0,493.0,4.4219770431518555,0.4988715350627899,0.5010121464729309,0.3719008266925812,0.5021026730537415,838.0,495.0
4,0.5573709011077881,2372.0,2342.0,4.059688091278076,0.5947844982147217,0.5576959252357483,0.5545539855957031,0.5904024839401245,2983.0,2953.0,0.4988730251789093,903.0,431.0,3.755983829498291,0.4984801411628723,0.49825379252433777,0.3215627372264862,0.5007284283638,900.0,428.0
5,0.5829107761383057,2270.0,2172.0,3.4731931686401367,0.611453652381897,0.5844652652740479,0.5737088918685913,0.6128308773040771,3153.0,3055.0,0.5041322112083435,1257.0,63.0,3.2688381671905518,0.5076786279678345,0.540145993232727,0.05559729412198067,0.5104780793190002,1268.0,74.0
6,0.5920187830924988,2341.0,2004.0,3.0299012660980225,0.6438379883766174,0.5982357859611511,0.5603755712509155,0.6388283967971802,3321.0,2984.0,0.5131480097770691,653.0,643.0,2.891559600830078,0.5107449293136597,0.513247549533844,0.5093914270401001,0.514248788356781,688.0,678.0
7,0.6115493178367615,2193.0,1944.0,2.69584584236145,0.6685852408409119,0.6170212626457214,0.5881690382957458,0.6615795493125916,3381.0,3132.0,0.4969947338104248,993.0,346.0,2.6190059185028076,0.49502402544021606,0.4941520392894745,0.25394439697265625,0.5068103671073914,985.0,338.0
8,0.6305164098739624,2086.0,1849.0,2.4376864433288574,0.6981231570243835,0.6365959048271179,0.6082628965377808,0.6891559958457947,3476.0,3239.0,0.4932381808757782,932.0,417.0,2.406881093978882,0.4924919605255127,0.4889705777168274,0.2997746169567108,0.5083545446395874,914.0,399.0
9,0.6444131731987,2019.0,1768.0,2.237905979156494,0.7181004881858826,0.6515569686889648,0.6208450794219971,0.7062222361564636,3557.0,3306.0,0.4969947338104248,816.0,523.0,2.2439496517181396,0.5015720129013062,0.49614644050598145,0.38692712783813477,0.5103206038475037,808.0,515.0
10,0.6652582287788391,1862.0,1703.0,2.073383331298828,0.7398896813392639,0.6703445315361023,0.6503286361694336,0.7326110601425171,3622.0,3463.0,0.5067618489265442,903.0,410.0,2.12713623046875,0.4909813404083252,0.5107398629188538,0.3215627372264862,0.497101753950119,921.0,428.0
11,0.689295768737793,1749.0,1560.0,1.935058355331421,0.7683930993080139,0.6962617039680481,0.6715493202209473,0.7613275051116943,3765.0,3576.0,0.5041322112083435,739.0,581.0,2.035534381866455,0.4934898912906647,0.5046888589859009,0.44477835297584534,0.498980313539505,750.0,592.0
12,0.702816903591156,1680.0,1485.0,1.8189687728881836,0.7933384776115417,0.7105262875556946,0.6845070719718933,0.7822944521903992,3840.0,3645.0,0.4954921007156372,807.0,536.0,1.9624861478805542,0.490092009305954,0.49433961510658264,0.39368894696235657,0.4939282536506653,795.0,524.0
13,0.7184037566184998,1554.0,1445.0,1.7260822057724,0.8072132468223572,0.722967803478241,0.7081690430641174,0.7971745729446411,3880.0,3771.0,0.4943651258945465,998.0,348.0,1.9163013696670532,0.4910721778869629,0.4889867901802063,0.25018781423568726,0.4946637451648712,983.0,333.0
14,0.734835684299469,1482.0,1342.0,1.643972635269165,0.8168146014213562,0.7411764860153198,0.7216901183128357,0.8126540780067444,3983.0,3843.0,0.486476331949234,909.0,458.0,1.8539255857467651,0.4880165159702301,0.4795454442501068,0.3170548379421234,0.4940716326236725,873.0,422.0
