epoch,accuracy,fn,fp,loss,pr_auc,precision,recall,roc_auc,tn,tp,val_accuracy,val_fn,val_fp,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,val_tn,val_tp
0,0.501690149307251,2527.0,2780.0,8.568005561828613,0.49887537956237793,0.5016134977340698,0.5254459977149963,0.5020170211791992,2545.0,2798.0,0.4673178195953369,451.0,967.0,7.923986434936523,0.48229044675827026,0.47644829750061035,0.6611570119857788,0.4632795453071594,364.0,880.0
1,0.5241314768791199,2435.0,2633.0,7.272952079772949,0.5397530198097229,0.5232663154602051,0.5427230000495911,0.5387858748435974,2692.0,2890.0,0.5015026330947876,537.0,790.0,6.622945785522461,0.5077587366104126,0.5012626051902771,0.5965439677238464,0.5124861598014832,541.0,794.0
2,0.5289201736450195,2472.0,2545.0,6.052921295166016,0.5381829738616943,0.5285291075706482,0.5357746481895447,0.5431281924247742,2780.0,2853.0,0.5045078992843628,739.0,580.0,5.510130405426025,0.5089935064315796,0.5051194429397583,0.44477835297584534,0.5076762437820435,751.0,592.0
3,0.5475117564201355,2464.0,2355.0,5.012229919433594,0.5748214721679688,0.5485045909881592,0.5372769832611084,0.5722141861915588,2970.0,2861.0,0.5123966932296753,1014.0,284.0,4.584279537200928,0.5336903929710388,0.5274542570114136,0.23816679418087006,0.5264639258384705,1047.0,317.0
4,0.5680751204490662,2329.0,2271.0,4.238001823425293,0.6019378304481506,0.5688247680664062,0.5626291036605835,0.5938901305198669,3054.0,2996.0,0.5266716480255127,967.0,293.0,3.9513673782348633,0.5406350493431091,0.5540334582328796,0.27347859740257263,0.5322938561439514,1038.0,364.0
5,0.5806573033332825,2385.0,2081.0,3.6646413803100586,0.6305593252182007,0.5855407118797302,0.5521126985549927,0.6209849715232849,3244.0,2940.0,0.5398196578025818,1069.0,156.0,3.448647975921631,0.5639762878417969,0.6267942786216736,0.19684447348117828,0.5501089096069336,1175.0,262.0
6,0.595492959022522,2345.0,1963.0,3.2178194522857666,0.661163866519928,0.6028727293014526,0.559624433517456,0.6456727385520935,3362.0,2980.0,0.5315552353858948,747.0,500.0,3.073986530303955,0.5585129261016846,0.5387454032897949,0.43876785039901733,0.5520941019058228,831.0,584.0
7,0.6156807541847229,2218.0,1875.0,2.873936414718628,0.6799673438072205,0.6236451268196106,0.5834741592407227,0.6657108068466187,3450.0,3107.0,0.5379413962364197,669.0,561.0,2.7715466022491455,0.5793012976646423,0.5412918925285339,0.4973703920841217,0.5650234818458557,770.0,662.0
8,0.6282629370689392,2140.0,1819.0,2.5967888832092285,0.7018362283706665,0.6364908218383789,0.5981220602989197,0.6863508820533752,3506.0,3185.0,0.5435762405395508,654.0,561.0,2.538313150405884,0.5779358148574829,0.54684978723526,0.5086401104927063,0.5767746567726135,770.0,677.0
9,0.6440375447273254,2031.0,1760.0,2.3793842792510986,0.7246400117874146,0.651760995388031,0.6185915470123291,0.7084799408912659,3565.0,3294.0,0.5424492955207825,757.0,461.0,2.361769914627075,0.5891014337539673,0.5545893907546997,0.43125468492507935,0.5702781677246094,870.0,574.0
10,0.6674178242683411,1923.0,1619.0,2.2006962299346924,0.7420098185539246,0.6775542497634888,0.6388732194900513,0.7299394011497498,3706.0,3402.0,0.5432006120681763,576.0,640.0,2.218984603881836,0.5960327982902527,0.541218638420105,0.5672426819801331,0.5716667175292969,691.0,755.0
11,0.6833803057670593,1755.0,1617.0,2.048909902572632,0.7677926421165466,0.6882591247558594,0.6704225540161133,0.7543807625770569,3708.0,3570.0,0.5443275570869446,496.0,717.0,2.110853672027588,0.6022202968597412,0.5380154848098755,0.6273478865623474,0.5777707099914551,614.0,835.0
12,0.6978403925895691,1699.0,1519.0,1.925167202949524,0.7831270694732666,0.7047619223594666,0.6809389591217041,0.7724536657333374,3806.0,3626.0,0.546581506729126,615.0,592.0,2.013627052307129,0.5931470990180969,0.5474005937576294,0.5379413962364197,0.5725551843643188,739.0,716.0
13,0.7122066020965576,1655.0,1410.0,1.8142026662826538,0.8044336438179016,0.7224409580230713,0.6892018914222717,0.7922126650810242,3915.0,3670.0,0.5379413962364197,446.0,784.0,1.9384289979934692,0.5993937849998474,0.5302576422691345,0.6649135947227478,0.5736464262008667,547.0,885.0
14,0.7311736941337585,1540.0,1323.0,1.7197810411453247,0.820880651473999,0.7409945130348206,0.7107981443405151,0.8107714056968689,4002.0,3785.0,0.5458301901817322,793.0,416.0,1.8812305927276611,0.5976740121841431,0.5639412999153137,0.40420734882354736,0.5776069164276123,915.0,538.0
15,0.7452582120895386,1459.0,1254.0,1.6397383213043213,0.8334558010101318,0.755078136920929,0.7260093688964844,0.8249785900115967,4071.0,3866.0,0.5510894060134888,764.0,431.0,1.8211113214492798,0.5958696603775024,0.5681362748146057,0.42599549889564514,0.5779207944869995,900.0,567.0
16,0.7594366073608398,1373.0,1189.0,1.5640366077423096,0.8498798608779907,0.7687220573425293,0.7421596050262451,0.8420994281768799,4136.0,3952.0,0.5315552353858948,782.0,465.0,1.7913001775741577,0.5799651741981506,0.5414201021194458,0.41247183084487915,0.5681890249252319,866.0,549.0
17,0.7755868434906006,1300.0,1090.0,1.49757981300354,0.8627517223358154,0.7869012951850891,0.7558685541152954,0.8562813997268677,4235.0,4025.0,0.5405709743499756,589.0,634.0,1.7376192808151245,0.5982959270477295,0.5392441749572754,0.5574755668640137,0.5787515044212341,697.0,742.0
18,0.7878873348236084,1213.0,1046.0,1.428825855255127,0.8778069615364075,0.7972082495689392,0.7722065448760986,0.8735215663909912,4279.0,4112.0,0.557851254940033,519.0,658.0,1.7284886837005615,0.5936017632484436,0.5523809790611267,0.61006760597229,0.5819647312164307,673.0,812.0
19,0.798309862613678,1126.0,1022.0,1.3719696998596191,0.8906147480010986,0.8042520880699158,0.7885445952415466,0.8854535818099976,4303.0,4199.0,0.557851254940033,642.0,535.0,1.7010818719863892,0.5995844006538391,0.5629084706306458,0.5176559090614319,0.5821893811225891,796.0,689.0
